x	y	class	color	
33648.0703125	26018.201171875		-65536
33927.25390625	26013.26171875		-65536
35251.6875	26032.2578125		-65536
35313.26171875	26014.216796875		-65536
34124.96484375	26015.697265625		-65536
34221.796875	26018.36328125		-65536
34401.48046875	26024.765625		-65536
33730.92578125	26017.576171875		-65536
35022.46875	26030.560546875		-65536
34453.25390625	26018.791015625		-65536
34604.33984375	26039.36328125		-65536
34658.5390625	26023.361328125		-65536
34691.3671875	26026.431640625		-65536
33707.1484375	26032.619140625		-65536
34535.71875	26021.599609375		-65536
34315.58984375	26026.80859375		-65536
34559.19140625	26030.666015625		-65536
35103.65234375	26038.36328125		-65536
34174.83203125	26031.814453125		-65536
34473.33984375	26029.220703125		-65536
34729.8359375	26030.005859375		-65536
34089.9140625	26031.591796875		-65536
33736.04296875	26037.1171875		-65536
33977.5390625	26037.927734375		-65536
35074.171875	26037.45703125		-65536
33798.57421875	26037.486328125		-65536
33877.40625	26037.068359375		-65536
34331.1875	26047.26953125		-65536
35310.3203125	26044.078125		-65536
34134.34375	26047.05859375		-65536
33602.6171875	26043.740234375		-65536
33633.9453125	26041.08984375		-65536
34206.20703125	26072.95703125		-65536
34531.63671875	26040.865234375		-65536
34770.1796875	26052.314453125		-65536
35285.60546875	26044.55078125		-65536
34692.70703125	26074.220703125		-65536
34984.10546875	26057.349609375		-65536
35350.3046875	26053.3984375		-65536
33925.6796875	26052.31640625		-65536
34386.53515625	26061.662109375		-65536
34292.13671875	26073.912109375		-65536
33713.39453125	26061.6640625		-65536
34063.03125	26066.0546875		-65536
34248.6328125	26055.93359375		-65536
34423.9375	26059.35546875		-65536
33619.7578125	26060.6953125		-65536
33938.23828125	26068.83984375		-65536
34907.203125	26081.564453125		-65536
35062.90234375	26071.248046875		-65536
33856.64453125	26060.228515625		-65536
33888.671875	26060.685546875		-65536
34464.0703125	26067.927734375		-65536
33592.796875	26068.271484375		-65536
33662.83203125	26073.142578125		-65536
33688.12890625	26073.888671875		-65536
34090.30859375	26063.228515625		-65536
33730.46875	26088.3046875		-65536
33797.609375	26069.943359375		-65536
33821.46875	26065.115234375		-65536
34522.48828125	26077.4296875		-65536
33970.53515625	26071.708984375		-65536
34588.78515625	26077.203125		-65536
35299.72265625	26074.966796875		-65536
33625.7890625	26096.345703125		-65536
35125.78125	26069.865234375		-65536
35027.421875	26079.345703125		-65536
34821.875	26089.181640625		-65536
34644.8046875	26077.96875		-65536
33882.53515625	26079.09375		-65536
34241.87890625	26087.197265625		-65536
33773.21875	26084.0078125		-65536
33842.578125	26088.123046875		-65536
34761.921875	26098.75		-65536
34995.84375	26089.3828125		-65536
35260.66015625	26100.962890625		-65536
34082.2734375	26092.267578125		-65536
34170.09375	26092.25390625		-65536
34613.8515625	26097.412109375		-65536
35343.8671875	26090.119140625		-65536
33996.11328125	26095.982421875		-65536
34363.07421875	26094.775390625		-65536
35151.16796875	26092.0		-65536
34026.09375	26093.9921875		-65536
34414.39453125	26097.677734375		-65536
34792.15625	26098.44140625		-65536
33812.4921875	26094.966796875		-65536
33955.12890625	26118.826171875		-65536
34113.546875	26097.498046875		-65536
34962.39453125	26096.662109375		-65536
34730.6484375	26100.318359375		-65536
34853.12890625	26105.630859375		-65536
33690.16796875	26122.08203125		-65536
33909.09765625	26104.5703125		-65536
34927.6171875	26139.07421875		-65536
35095.58984375	26120.453125		-65536
33762.296875	26107.900390625		-65536
34250.76953125	26106.001953125		-65536
35031.890625	26111.57421875		-65536
34339.25	26108.28515625		-65536
35311.44921875	26115.787109375		-65536
33783.59375	26105.208984375		-65536
34295.26953125	26107.68359375		-65536
34575.390625	26127.35546875		-65536
34637.453125	26123.208984375		-65536
34177.59375	26111.462890625		-65536
34051.7578125	26122.640625		-65536
34219.87890625	26129.595703125		-65536
34381.8515625	26119.2109375		-65536
34444.27734375	26121.427734375		-65536
34492.5078125	26135.041015625		-65536
33839.11328125	26122.439453125		-65536
33872.17578125	26116.431640625		-65536
33795.82421875	26118.9765625		-65536
34414.35546875	26118.35546875		-65536
34957.53515625	26122.62890625		-65536
33582.4140625	26121.6640625		-65536
34903.09765625	26134.607421875		-65536
33730.78125	26133.708984375		-65536
34536.70703125	26128.27734375		-65536
33636.49609375	26124.544921875		-65536
35079.3203125	26133.64453125		-65536
35047.53125	26151.28515625		-65536
35154.6796875	26142.248046875		-65536
34108.17578125	26135.08984375		-65536
34721.12109375	26154.013671875		-65536
34795.234375	26132.15625		-65536
33896.3046875	26139.46484375		-65536
34331.15625	26134.310546875		-65536
34835.34765625	26142.560546875		-65536
35279.33203125	26142.59765625		-65536
33813.796875	26134.0546875		-65536
34862.5703125	26154.97265625		-65536
34028.0859375	26142.193359375		-65536
34179.2109375	26137.25390625		-65536
34275.1015625	26136.896484375		-65536
34398.234375	26146.48828125		-65536
35008.34375	26149.990234375		-65536
33767.3203125	26157.1015625		-65536
33624.05859375	26145.185546875		-65536
34975.0703125	26154.158203125		-65536
34083.78515625	26151.56640625		-65536
35224.59765625	26142.53125		-65536
35338.890625	26146.71875		-65536
33669.14453125	26153.583984375		-65536
34057.5	26147.3671875		-65536
34606.93359375	26150.349609375		-65536
34375.55859375	26151.95703125		-65536
33584.91015625	26151.244140625		-65536
34193.71875	26157.216796875		-65536
34328.8984375	26190.662109375		-65536
34777.93359375	26167.466796875		-65536
34154.69140625	26167.169921875		-65536
35199.75390625	26175.6328125		-65536
35118.75390625	26164.53125		-65536
35252.3046875	26173.09375		-65536
34011.140625	26170.205078125		-65536
34042.14453125	26178.41015625		-65536
33936.734375	26174.1171875		-65536
34455.89453125	26165.125		-65536
34525.36328125	26187.4609375		-65536
33656.98046875	26190.12890625		-65536
33877.4375	26167.9296875		-65536
33608.48046875	26181.56640625		-65536
34817.21484375	26189.0		-65536
33586.0390625	26170.01953125		-65536
33850.0703125	26182.697265625		-65536
34419.02734375	26182.732421875		-65536
34586.72265625	26183.12109375		-65536
34894.60546875	26178.498046875		-65536
35151.953125	26181.78515625		-65536
34281.76171875	26179.505859375		-65536
35332.08984375	26178.25		-65536
34106.62109375	26180.064453125		-65536
34958.19921875	26197.76171875		-65536
34180.4140625	26182.712890625		-65536
34491.07421875	26186.73046875		-65536
34460.6953125	26184.8671875		-65536
34082.53515625	26189.001953125		-65536
34231.2578125	26187.990234375		-65536
34395.6171875	26187.154296875		-65536
35055.375	26184.39453125		-65536
33971.73828125	26216.6953125		-65536
34125.02734375	26192.03515625		-65536
34916.79296875	26198.31640625		-65536
35103.6953125	26189.923828125		-65536
33731.9296875	26196.95703125		-65536
34849.87890625	26231.431640625		-65536
34434.7578125	26203.01171875		-65536
34289.3671875	26198.587890625		-65536
34777.3125	26201.095703125		-65536
33702.08203125	26205.3671875		-65536
34149.92578125	26203.490234375		-65536
35058.60546875	26199.525390625		-65536
35328.578125	26207.19921875		-65536
33828.77734375	26204.5		-65536
34369.484375	26209.4140625		-65536
34894.9609375	26208.26171875		-65536
35231.55859375	26212.654296875		-65536
34620.0703125	26212.9140625		-65536
33807.15625	26205.404296875		-65536
34217.76171875	26206.1484375		-65536
33627.3125	26208.224609375		-65536
33890.859375	26210.240234375		-65536
34064.88671875	26212.8203125		-65536
34406.81640625	26217.13671875		-65536
34570.6015625	26210.921875		-65536
33589.54296875	26230.77734375		-65536
33869.8828125	26215.220703125		-65536
35034.51171875	26215.908203125		-65536
35148.2578125	26211.111328125		-65536
35093.30078125	26222.015625		-65536
34038.7578125	26222.474609375		-65536
34752.50390625	26233.599609375		-65536
34256.52734375	26224.298828125		-65536
33727.1484375	26223.78125		-65536
34479.97265625	26233.7734375		-65536
35257.30078125	26218.0703125		-65536
34285.53125	26226.025390625		-65536
33787.91015625	26226.548828125		-65536
33814.48828125	26234.521484375		-65536
34812.41796875	26261.087890625		-65536
33630.23828125	26230.994140625		-65536
34121.33203125	26240.41015625		-65536
34562.83984375	26267.703125		-65536
34908.609375	26233.236328125		-65536
33897.73828125	26235.41796875		-65536
34880.62890625	26255.8203125		-65536
35185.25	26230.720703125		-65536
34022.2265625	26237.1640625		-65536
34712.1328125	26248.310546875		-65536
34937.90625	26244.115234375		-65536
34317.25390625	26238.62890625		-65536
34369.5	26241.462890625		-65536
34537.21875	26242.5234375		-65536
34777.671875	26249.74609375		-65536
35140.93359375	26232.513671875		-65536
34499.39453125	26242.048828125		-65536
35115.76171875	26244.435546875		-65536
35061.921875	26253.568359375		-65536
33922.26171875	26249.25		-65536
34429.734375	26249.451171875		-65536
35220.0859375	26242.365234375		-65536
35285.6875	26253.736328125		-65536
35335.25390625	26247.81640625		-65536
33644.265625	26255.693359375		-65536
33839.1796875	26253.94921875		-65536
33602.31640625	26259.1875		-65536
34167.34375	26268.544921875		-65536
34296.70703125	26265.716796875		-65536
34389.9296875	26272.953125		-65536
35192.26171875	26255.716796875		-65536
34022.68359375	26270.01953125		-65536
35232.63671875	26258.9765625		-65536
33672.98828125	26280.029296875		-65536
35150.671875	26270.912109375		-65536
33882.55859375	26272.478515625		-65536
34965.34375	26277.51171875		-65536
34460.54296875	26304.763671875		-65536
34341.078125	26309.39453125		-65536
34526.6484375	26274.900390625		-65536
34070.984375	26269.095703125		-65536
35208.08984375	26272.55859375		-65536
33824.1484375	26277.970703125		-65536
34929.8203125	26286.564453125		-65536
35332.75	26290.6171875		-65536
33942.42578125	26276.529296875		-65536
33974.28125	26277.044921875		-65536
34829.74609375	26307.458984375		-65536
34996.5390625	26273.9765625		-65536
35251.01953125	26276.1328125		-65536
34105.2890625	26279.63671875		-65536
33628.4296875	26283.220703125		-65536
34629.65234375	26280.4375		-65536
35271.0390625	26293.07421875		-65536
33606.87109375	26331.095703125		-65536
34305.55859375	26289.5703125		-65536
34508.44921875	26296.810546875		-65536
34867.1328125	26298.3359375		-65536
34904.71875	26286.80859375		-65536
35056.9375	26283.869140625		-65536
34640.3515625	26302.0390625		-65536
34775.91015625	26296.42578125		-65536
33730.87109375	26288.451171875		-65536
34774.53515625	26357.205078125		-65536
34602.22265625	26308.8828125		-65536
35017.921875	26295.93359375		-65536
33970.30859375	26297.841796875		-65536
34689.6796875	26327.51171875		-65536
34982.4609375	26293.638671875		-65536
35093.2265625	26307.666015625		-65536
33709.9921875	26309.0546875		-65536
33920.83984375	26297.0859375		-65536
35073.11328125	26294.291015625		-65536
35294.3046875	26316.880859375		-65536
34069.42578125	26313.49609375		-65536
35248.43359375	26301.90625		-65536
34407.484375	26303.84375		-65536
33864.82421875	26313.55078125		-65536
34121.87109375	26304.896484375		-65536
33793.375	26305.837890625		-65536
33996.5625	26312.767578125		-65536
35124.2421875	26320.54296875		-65536
33946.87890625	26305.083984375		-65536
34373.0390625	26318.2109375		-65536
34972.68359375	26314.91796875		-65536
34175.3125	26323.513671875		-65536
